Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Honduras,2022-08-04 20:20:52,15.2,-86.2419,442319,10939,,,4465.79006458408,,,2.473101992001248,340,HND,14601,33
Hungary,2022-08-04 20:20:52,47.1625,19.5033,1987321,46886,,,20571.93579942756,,,2.359256506623741,348,HUN,54533,225
Iceland,2022-08-04 20:20:52,64.9631,-19.0208,202502,179,,,59341.24542124542,,,0.0883941886993708,352,ISL,5975,0
India,2022-08-04 20:20:52,20.593684,78.96288,44087037,526530,,,3194.7026748034573,,,1.1942966364466725,356,IND,520298,1225
Indonesia,2022-08-04 20:20:52,-0.7893,113.9213,6229315,157060,,,2277.4321929585744,,,2.5213045094043247,360,IDN,122117,276
Iran,2022-08-04 20:20:52,32.427908,53.688046,7426030,142290,,,8841.253622789045,,,1.9160978342398292,364,IRN,175696,796
Iraq,2022-08-04 20:20:52,33.223191,43.679291,2449440,25322,,,6089.725445480109,,,1.0337873146515122,368,IRQ,79212,72
Ireland,2022-08-04 20:20:52,53.1424,-7.6921,1647605,7700,,,33367.214846461866,,,0.4673450250515141,372,IRL,32974,164
Israel,2022-08-04 20:20:52,31.046051,34.851612,4595648,11430,,,53094.86720702958,,,0.248713565529823,376,ISR,177506,357
Italy,2022-08-04 20:20:52,41.8719,12.5674,21213559,172729,,,35085.8710391621,,,0.8142386668828178,380,ITA,2121812,3798
Jamaica,2022-08-04 20:20:52,18.1096,-77.2975,146608,3198,,,4951.03103140964,,,2.18132707628506,388,JAM,3200,53
Japan,2022-08-04 20:20:52,36.204824,138.252924,13618037,33176,,,10767.25045541677,,,0.2436180779946478,392,JPN,3892421,1655
Jordan,2022-08-04 20:20:52,31.24,36.51,1715296,14083,,,16811.4521608054,,,0.8210244762420014,400,JOR,14770,15
Kazakhstan,2022-08-04 20:20:52,48.0196,66.9237,1449679,19025,,,7720.624281989381,,,1.312359494757115,398,KAZ,52541,7
Kenya,2022-08-04 20:20:52,-0.0236,37.9062,337768,5672,,,628.1566560600171,,,1.6792591364486866,404,KEN,2642,13
Kiribati,2022-08-04 20:20:52,-3.3704,-168.734,3430,13,,,2916.5178647347925,,,0.3790087463556851,296,KIR,194,0
"Korea, North",2022-08-04 20:20:52,40.3399,127.5101,1,6,,,0.0038791542590301,,,600.0,408,PRK,0,0
"Korea, South",2022-08-04 20:20:52,35.907757,127.766922,20160154,25144,,,39322.167470466615,,,0.1247212694903025,410,KOR,1708292,551
Kosovo,2022-08-04 20:20:52,42.602636,20.902977,258490,3174,,,14278.328249646756,,,1.2279004990521878,383,XKS,26940,33
Kuwait,2022-08-04 20:20:52,29.31166,47.481766,653730,2559,,,15307.817728013848,,,0.3914460098205681,414,KWT,7632,3
Kyrgyzstan,2022-08-04 20:20:52,41.20438,74.766098,203776,2991,,,3123.3910840439835,,,1.467788159547739,417,KGZ,2675,0
Laos,2022-08-04 20:20:52,19.85627,102.495496,211537,757,,,2907.5028767560857,,,0.3578570179212147,418,LAO,1110,0
Latvia,2022-08-04 20:20:52,56.8796,24.6032,869576,5900,,,46101.95514584334,,,0.6784915867043249,428,LVA,29252,34
Lebanon,2022-08-04 20:20:52,33.8547,35.8623,1179481,10538,,,17280.653765719493,,,0.8934438113034462,422,LBN,60020,67
Lesotho,2022-08-04 20:20:52,-29.61,28.2336,34040,702,,,1588.982061867605,,,2.062279670975323,426,LSO,102,3
Liberia,2022-08-04 20:20:52,6.428055,-9.429499,7538,294,,,149.04075527163954,,,3.900238790130008,430,LBR,38,0
Libya,2022-08-04 20:20:52,26.3351,17.228331,505350,6433,,,7354.517428831018,,,1.2729791233798358,434,LBY,3031,2
Liechtenstein,2022-08-04 20:20:52,47.14,9.55,18776,86,,,49233.02829273409,,,0.458031529612271,438,LIE,723,1
Lithuania,2022-08-04 20:20:52,55.1694,23.8813,1188767,9216,,,43667.88855416265,,,0.7752570520547761,440,LTU,23770,35
Luxembourg,2022-08-04 20:20:52,49.8153,6.1296,283507,1114,,,45290.394519917696,,,0.3929356241644827,442,LUX,15507,19
MS Zaandam,2022-08-04 20:20:52,,,9,2,,,,,,22.22222222222222,8888,,0,0
Madagascar,2022-08-04 20:20:52,-18.766947,46.869107,66491,1408,,,240.1175630264816,,,2.1175798228331653,450,MDG,704,7
Malawi,2022-08-04 20:20:52,-13.2543,34.3015,87547,2670,,,457.64352294608113,,,3.0497903983003414,454,MWI,869,23
Malaysia,2022-08-04 20:20:52,4.210483999999999,101.975766,4697213,36003,,,14512.801366421638,,,0.7664757804255417,458,MYS,110498,203
Maldives,2022-08-04 20:20:52,3.2028,73.2207,184485,307,,,34129.63284999131,,,0.1664091931593354,462,MDV,1765,1
Mali,2022-08-04 20:20:52,17.570692,-3.996166,31232,739,,,154.22574694948366,,,2.3661629098360657,466,MLI,51,2
Malta,2022-08-04 20:20:52,35.9375,14.3754,113120,795,,,25619.480951852496,,,0.7027934936350778,470,MLT,6374,43
