Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Berlin,Germany,2022-08-28 08:33:03,52.52,13.405,1225748,4755,,,,33453.01750394641,,,0.3879263927006203,27603,DEU,,,42534,45
Brandenburg,Germany,2022-08-28 08:33:03,52.4125,12.5316,916555,5855,,,,36212.14102646666,,,0.6388050908019705,27604,DEU,,,35869,85
Bremen,Germany,2022-08-28 08:33:03,53.0793,8.8017,249485,824,,,,36681.957860997165,,,0.3302803775778103,27605,DEU,,,9801,11
Hamburg,Germany,2022-08-28 08:33:03,53.5511,9.9937,710002,2953,,,,38327.14882443948,,,0.4159143213681088,27606,DEU,,,21750,124
Hessen,Germany,2022-08-28 08:33:03,50.6521,9.1624,2400994,10891,,,,38152.474895735904,,,0.4536037990932089,27607,DEU,,,102454,272
Mecklenburg-Vorpommern,Germany,2022-08-28 08:33:03,53.6127,12.4296,580077,2404,,,,36012.31457671902,,,0.4144277397655828,27608,DEU,,,25590,74
Niedersachsen,Germany,2022-08-28 08:33:03,52.6367,9.8451,3081624,10433,,,,38503.83479764466,,,0.3385552552809817,27609,DEU,,,131094,433
Nordrhein-Westfalen,Germany,2022-08-28 08:33:03,51.4332,7.6616,6558199,26957,,,,36585.72084458124,,,0.4110427268217997,27610,DEU,,,301986,586
Rheinland-Pfalz,Germany,2022-08-28 08:33:03,50.1183,7.309,1440524,6053,,,,35148.525360318235,,,0.4201943181786627,27611,DEU,,,56006,139
Saarland,Germany,2022-08-28 08:33:03,49.3964,7.023,396142,1816,,,,40258.70155316461,,,0.4584214751276058,27612,DEU,,,14000,46
Sachsen,Germany,2022-08-28 08:33:03,51.1045,13.2017,1706361,15886,,,,42060.28630931532,,,0.9309870537359912,27613,DEU,,,51950,189
Sachsen-Anhalt,Germany,2022-08-28 08:33:03,51.9503,11.6923,817954,5635,,,,37509.056791355375,,,0.688914046511173,27614,DEU,,,26567,154
Schleswig-Holstein,Germany,2022-08-28 08:33:03,54.2194,9.6961,977280,2810,,,,33573.41005711341,,,0.2875327439423706,27615,DEU,,,43278,84
Thuringen,Germany,2022-08-28 08:33:03,51.011,10.8453,779786,7552,,,,36778.24696012757,,,0.9684708368706286,27616,DEU,,,18659,110
Unknown,Germany,2022-08-28 08:33:03,,,0,0,,,,,,,,27617,DEU,,,0,0
Andaman and Nicobar Islands,India,2022-08-28 08:33:03,11.225999,92.968178,10595,129,,,,2540.5480582012106,,,1.217555450684285,35601,IND,,,160,0
Andhra Pradesh,India,2022-08-28 08:33:03,15.9129,79.74,2336614,14733,,,,4334.818032697867,,,0.6305277636785537,35602,IND,,,4856,0
Arunachal Pradesh,India,2022-08-28 08:33:03,27.768456,96.384277,66647,296,,,,4243.793848673445,,,0.4441310186505019,35603,IND,,,840,0
Assam,India,2022-08-28 08:33:03,26.357149,92.830441,744136,8030,,,,2089.856446642474,,,1.079103819731877,35604,IND,,,5190,14
